1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  2  3  1  1  1  1  1  1  1  1  1  1  1  1
1  1  2  8  3  1  1  1  1  12 9  1  1  1  1  1  1  1  1  1  1  1  1
1  1  12 13 9  1  1  1  1  6  4  1  1  1  1  1  1  1  1  1  1  1  1
1  1  6  10 4  1  1  1  1  7  5  1  1  1  1  1  1  1  2  8  3  1  1
1  1  7  11 5  1  1  1  1  1  1  1  1  1  1  1  1  1  12 13 9  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  6  10 4  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  7  11 5  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1

